Gene Symbol,TCGA-OL-A5D8-01,TCGA-E9-A1N4-01,TCGA-E2-A10C-01,TCGA-EW-A1P4-01,TCGA-A2-A0D1-01,TCGA-A2-A3XV-01,TCGA-E9-A1N5-01,TCGA-E2-A1B5-01,TCGA-A2-A0EN-01,TCGA-HN-A2NL-01,TCGA-AR-A0TX-01,TCGA-GM-A2DH-01,TCGA-C8-A135-01,TCGA-OL-A5RZ-01,TCGA-BH-A0BF-01,TCGA-EW-A1OV-01,TCGA-PL-A8LZ-01,TCGA-BH-A0DG-01,TCGA-A7-A4SB-01,TCGA-A7-A26G-01,TCGA-A2-A0T1-01,TCGA-E2-A14P-01,TCGA-S3-AA17-01,TCGA-A1-A0SK-01,TCGA-BH-A18J-01,TCGA-UU-A93S-01,TCGA-C8-A138-01,TCGA-AO-A0J2-01,TCGA-E2-A1IH-01,TCGA-BH-A0AZ-01,TCGA-E2-A152-01,TCGA-EW-A423-01,TCGA-OL-A5D6-01,TCGA-E2-A14N-01,TCGA-C8-A26X-01,TCGA-AR-A1AH-01,TCGA-AN-A04D-01,TCGA-A8-A09G-01,TCGA-AN-A0AR-01,TCGA-E2-A14S-01,TCGA-BH-A203-01,TCGA-AO-A128-01,TCGA-A8-A08B-01,TCGA-E9-A22A-01,TCGA-AC-A3W6-01,TCGA-A7-A0CG-01,TCGA-A2-A0EQ-01,TCGA-BH-A0BM-01,TCGA-AR-A1AI-01,TCGA-OL-A5RY-01,TCGA-AR-A0TW-01,TCGA-D8-A1JF-01,TCGA-BH-A18T-01,TCGA-OL-A66P-01,TCGA-C8-A12V-01,TCGA-C8-A12Q-01,TCGA-GM-A2DK-01,TCGA-A8-A076-01,TCGA-BH-A1FC-01,TCGA-LL-A5YO-01,TCGA-BH-A1FN-01,TCGA-BH-A0BR-01,TCGA-LQ-A4E4-01,TCGA-AN-A0FF-01,TCGA-BH-A0BZ-01,TCGA-AC-A2QH-01,TCGA-A1-A0SM-01,TCGA-AO-A12G-01,TCGA-C8-A274-01,TCGA-AO-A1KR-01,TCGA-B6-A0I5-01,TCGA-AO-A03N-01,TCGA-AO-A03L-01,TCGA-C8-A137-01,TCGA-AN-A041-01,TCGA-A2-A04W-01,TCGA-C8-A1HK-01,TCGA-A8-A091-01,TCGA-BH-A1EN-01,TCGA-A2-A4S1-01,TCGA-E2-A1LE-01,TCGA-E2-A107-01,TCGA-AC-A2FE-01,TCGA-AC-A5EH-01,TCGA-A7-A56D-01,TCGA-LL-A9Q3-01,TCGA-BH-A0B5-01,TCGA-AR-A1AW-01,TCGA-AC-A62X-01,TCGA-D8-A27G-01,TCGA-C8-A131-01,TCGA-A1-A0SO-01,TCGA-D8-A1Y3-01,TCGA-AO-A0JL-01,TCGA-A8-A085-01,TCGA-LL-A6FP-01,TCGA-A7-A4SF-01,TCGA-C8-A1HF-01,TCGA-E2-A56Z-01,TCGA-D8-A1JN-01,TCGA-GM-A2D9-01,TCGA-D8-A1XT-01,TCGA-D8-A27W-01,TCGA-OL-A97C-01,TCGA-BH-A0B4-01,TCGA-AQ-A54N-01,TCGA-BH-A18G-01,TCGA-GM-A2DB-01,TCGA-C8-A12K-01,TCGA-A2-A1FV-01,TCGA-BH-A0B0-01,TCGA-A2-A3XZ-01,TCGA-OL-A66N-01,TCGA-AO-A0J5-01,TCGA-E2-A1LB-01,TCGA-BH-A0DH-01,TCGA-A8-A0A7-01,TCGA-AR-A0U4-01,TCGA-LL-A740-01,TCGA-BH-A0EE-01,TCGA-LD-A9QF-01
STAG3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,-1,1,1,-1,-1,1,0,0,-1,0,0,0,0,0,-1,1,-1,0,0,0,0,0,1,2,-1,1,1,1,1,1,0,-1,0,0,-1,0,0,0,1,1,0,0,0,1,1,1,-1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,-1,0,1,0,1,1,0,1,0,-1,0,0,1,-1,0,0,1,0,1,0,1,1,0,-1,0,0,-1,1,0,1
SMC1A,0,-1,0,0,-1,0,0,0,0,-1,0,2,0,-1,0,0,1,-1,0,0,1,1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,0,1,1,-1,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,1,0,0,1,1,1,-1,0,-1,-1,-1,0,0,0,1,1,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,1,0,0,0
SMC1B,0,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,0,-1,0,1,0,0,-1,-1,0,-1,1,-1,1,-1,-1,0,0,0,-1,0,0,-1,1,1,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,0,-1,1,-1,1,1,0,-1,-1,0,-1,-1,0,-1,0,1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,1,0,-1,-1,0,-1,1,1,-1,-1,0,0,0,-1,-1,0,0,-1,0
RAD21,2,0,1,0,2,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,2,0,0,1,0,1,2,2,1,0,1,0,0,2,1,0,2,0,0,1,1,1,2,1,0,0,1,0,1,0,1,1,2,1,1,0,0,1,1,1,2,-1,0,0,2,2,1,1,0,1,1,0,0,2,-1,0,1,1,2,1,1,1,0,-1,0,1,0,1,1,0,2,-1,1,2,1,0,-1,0,1,0,0,0,2,0,1,1,0,0,2,1,0,-1,1,0,0,1,2,2,1,1,0
REC8,0,0,1,-1,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,1,-1,-1,0,2,0,-1,0,-1,1,1,1,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,2,0,-1,0,1,1,-1,0,0,0,0,1,-1,1,0,0,0,0,-1,-1,0,0,0,-1,1,1,1,-1,0,0,-1,1,1,-1,-1,0,0,0,1,0,-1,1,2,0,0,1,-1,-1,0,0,0,-1,1,0,0,-1,1,1,0,-1,0,1,-1,0,0,0,-1,0,0,0,0,2,0,1,0
HORMAD1,2,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,2,2,1,1,2,1,1,1,0,1,1,2,1,1,0,0,1,1,2,1,1,2,-1,1,1,0,1,1,1,0,1,2,0,1,2,1,2,0,0,2,1,0,2,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,2,1,1,1,1,1,1,1,0,2,1,0,1,1,1,0,1,1,0,2,1,0,0,1,1,1,2,1,0,0,0,1,0,1,0
HORMAD2,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,1,0,0,1,-1,0,-1,2,-1,0,2,0,0,0,0,-1,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,0,0,-1,-1,0,0,1,-1,1,1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,0
SYCP2,0,0,1,0,0,0,1,0,0,1,2,-1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,2,2,1,-1,1,1,0,0,0,0,0,0,-1,1,0,1,1,0,0,0,1,0,1,0,-1,1,1,2,0,1,2,2,-1,0,1,0,1,0,1,1,0,0,1,0,1,1,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,2,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
SYCP3,0,0,-1,-1,-1,0,0,-2,0,1,-1,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,-1,1,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,1,1,1,0,-1,-1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-1,-1,0,1,0,0,1,0,1,0,0,0,-1,1,0,-1,0,-1,-1,0,1,0,-1,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,1,-1,0
MLH3,0,0,1,-1,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,1,-1,-1,0,1,-1,-1,0,-1,1,-1,-1,-1,1,-1,0,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,1,-1,0,0,-1,-1,1,-1,1,0,-1,0,0,-1,-1,0,0,0,-1,1,-1,1,0,0,-1,-1,1,-1,-1,-1,0,0,0,1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,1,0,0,-1,0,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,0
MSH4,0,0,-1,0,0,0,0,0,-1,1,0,1,-1,-1,-1,1,1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,1,0,0,-1,2,1,-1,-1,0,-1,1,-1,0,1,0,-1,0,1,0,0,-1,0,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,-1,0,0,-1,-1,0,-1,1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,1,0
MSH5,0,0,1,1,0,1,0,0,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,-1,1,-1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,-1,-1,0,1,1,0,1,-1,1,0,1,1,1,-1,0,-1,1,0,-1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,-1,0,0,-1,0,-1,1,0,-1,0,0,0,0,1,0,0,-1,0,0
